iter	Logloss
0	0.6843458154
1	0.6781910863
2	0.6721038623
3	0.6664395972
4	0.6621858443
5	0.6587246131
6	0.6560103805
7	0.6533167658
8	0.651151187
9	0.6486484338
10	0.6466908656
11	0.6455197779
12	0.6441829287
13	0.6432089775
14	0.6422822253
15	0.6414713853
16	0.6408430662
17	0.6401998975
18	0.639748214
19	0.6389298128
20	0.6380105049
21	0.6370828173
22	0.6365217694
23	0.6362515933
24	0.635647088
25	0.634954187
26	0.6342359521
27	0.6335991753
28	0.63296653
29	0.6325960318
30	0.6319297508
31	0.6314786129
32	0.6308293641
33	0.6301463628
34	0.629665175
35	0.6294409117
36	0.6289213724
37	0.62822738
38	0.6277062037
39	0.6275387273
40	0.6272132455
41	0.626568206
42	0.6261746344
43	0.6258367585
44	0.6252054772
45	0.6248510368
46	0.6244483451
47	0.6239056545
48	0.623733462
49	0.6234950897
50	0.6230427826
51	0.6225003258
