iter	Passed	Remaining
0	21	4323
1	44	4454
2	67	4430
3	93	4578
4	121	4728
5	147	4762
6	173	4786
7	203	4875
8	231	4914
9	256	4878
10	281	4838
11	306	4807
12	333	4799
13	359	4773
14	382	4722
15	409	4705
16	438	4717
17	459	4648
18	486	4635
19	513	4623
20	539	4597
21	560	4531
22	583	4486
23	611	4483
24	638	4467
25	664	4444
26	689	4415
27	714	4388
28	738	4356
29	761	4317
30	783	4271
31	809	4247
32	854	4322
33	877	4283
34	907	4280
35	944	4304
36	970	4276
37	999	4259
38	1025	4233
39	1052	4208
40	1078	4181
41	1101	4144
42	1127	4117
43	1177	4174
44	1202	4140
45	1222	4093
46	1248	4064
47	1275	4037
48	1302	4014
49	1326	3979
50	1351	3947
51	1373	3910
52	1399	3880
53	1426	3855
54	1450	3822
55	1475	3795
56	1501	3766
57	1525	3733
58	1550	3705
59	1574	3673
60	1598	3642
61	1623	3613
62	1647	3583
63	1670	3550
64	1698	3526
65	1725	3502
66	1749	3473
67	1775	3446
68	1802	3421
69	1827	3393
70	1852	3365
71	1873	3330
72	1897	3301
73	1921	3271
74	1965	3275
75	1987	3242
76	2022	3230
77	2062	3226
78	2083	3190
79	2106	3159
80	2134	3135
81	2158	3106
82	2186	3082
83	2208	3049
84	2232	3019
85	2258	2993
86	2283	2966
87	2309	2939
88	2334	2911
89	2359	2884
90	2386	2858
91	2410	2829
92	2435	2801
93	2459	2774
94	2483	2745
95	2509	2718
96	2535	2691
97	2548	2652
98	2574	2626
99	2601	2601
100	2629	2577
101	2656	2552
102	2683	2526
103	2709	2501
104	2733	2473
105	2759	2447
106	2785	2420
107	2809	2393
108	2832	2365
109	2859	2339
110	2885	2313
111	2909	2285
112	2933	2258
113	2959	2232
114	2985	2206
115	3009	2179
116	3034	2152
117	3073	2135
118	3101	2111
119	3129	2086
120	3161	2063
121	3186	2037
122	3210	2009
123	3233	1982
124	3258	1955
125	3282	1927
126	3305	1899
127	3329	1872
128	3347	1842
129	3370	1814
130	3394	1787
131	3418	1760
132	3441	1733
133	3466	1707
134	3492	1681
135	3518	1655
136	3548	1631
137	3572	1604
138	3595	1578
139	3620	1551
140	3646	1525
141	3672	1499
142	3697	1474
143	3720	1446
144	3742	1419
145	3769	1394
146	3794	1367
147	3818	1341
148	3841	1314
149	3864	1288
150	3888	1261
151	3913	1235
152	3937	1209
153	3960	1183
154	3985	1157
155	4001	1128
156	4025	1102
157	4050	1076
158	4072	1050
159	4109	1027
160	4147	1004
161	4176	979
162	4220	958
163	4245	931
164	4276	907
165	4309	882
166	4337	857
167	4361	830
168	4386	804
169	4411	778
170	4436	752
171	4460	726
172	4484	699
173	4507	673
174	4530	647
175	4554	621
176	4578	594
177	4600	568
178	4624	542
179	4650	516
180	4676	490
181	4699	464
182	4723	438
183	4746	412
184	4769	386
185	4795	360
186	4820	335
187	4844	309
188	4869	283
189	4893	257
190	4916	231
191	4938	205
192	4961	179
193	4983	154
194	5008	128
195	5031	102
196	5054	76
197	5076	51
198	5100	25
199	5124	0
