game_id,date,home_team_code,away_team_code,home_team_name,away_team_name,home_score,away_score,arena,city,season,status
8787,2021-10-19T23:30:00.000Z,MIL,BKN,Milwaukee Bucks,Brooklyn Nets,127.0,104.0,Fiserv Forum,Milwaukee,2021,Finished
8788,2021-10-20T02:00:00.000Z,LAL,GSW,Los Angeles Lakers,Golden State Warriors,114.0,121.0,STAPLES Center,Los Angeles,2021,Finished
8789,2021-10-20T23:00:00.000Z,CHA,IND,Charlotte Hornets,Indiana Pacers,123.0,122.0,Spectrum Center,Charlotte,2021,Finished
8790,2021-10-20T23:00:00.000Z,DET,CHI,Detroit Pistons,Chicago Bulls,88.0,94.0,Little Caesars Arena,Detroit,2021,Finished
8791,2021-10-20T23:30:00.000Z,NYK,BOS,New York Knicks,Boston Celtics,138.0,134.0,Madison Square Garden,New York,2021,Finished
8792,2021-10-20T23:30:00.000Z,TOR,WAS,Toronto Raptors,Washington Wizards,83.0,98.0,Scotiabank Arena,Toronto,2021,Finished
8793,2021-10-21T00:00:00.000Z,MEM,CLE,Memphis Grizzlies,Cleveland Cavaliers,132.0,121.0,FedExForum,Memphis,2021,Finished
9573,2021-10-21T00:00:00.000Z,MIN,HOU,Minnesota Timberwolves,Houston Rockets,124.0,106.0,Target Center,Minneapolis,2021,Finished
9574,2021-10-21T00:00:00.000Z,NOP,PHI,New Orleans Pelicans,Philadelphia 76ers,97.0,117.0,Smoothie King Center,New Orleans,2021,Finished
9575,2021-10-21T00:30:00.000Z,SAS,ORL,San Antonio Spurs,Orlando Magic,123.0,97.0,AT&T Center,San Antonio,2021,Finished
9576,2021-10-21T01:00:00.000Z,UTA,OKC,Utah Jazz,Oklahoma City Thunder,107.0,86.0,Vivint Arena,Salt Lake City,2021,Finished
9577,2021-10-21T02:00:00.000Z,PHX,DEN,Phoenix Suns,Denver Nuggets,98.0,110.0,Footprint Center,Phoenix,2021,Finished
9578,2021-10-21T02:00:00.000Z,POR,SAC,Portland Trail Blazers,Sacramento Kings,121.0,124.0,Moda Center,Portland,2021,Finished
9579,2021-10-21T23:30:00.000Z,ATL,DAL,Atlanta Hawks,Dallas Mavericks,113.0,87.0,State Farm Arena,Atlanta,2021,Finished
9580,2021-10-22T00:00:00.000Z,MIA,MIL,Miami Heat,Milwaukee Bucks,137.0,95.0,FTX Arena,Miami,2021,Finished
9581,2021-10-22T02:00:00.000Z,GSW,LAC,Golden State Warriors,LA Clippers,115.0,113.0,Chase Center,San Francisco,2021,Finished
9582,2021-10-22T23:00:00.000Z,CLE,CHA,Cleveland Cavaliers,Charlotte Hornets,112.0,123.0,Rocket Mortgage FieldHouse,Cleveland,2021,Finished
9583,2021-10-22T23:00:00.000Z,ORL,NYK,Orlando Magic,New York Knicks,96.0,121.0,Amway Center,Orlando,2021,Finished
9584,2021-10-22T23:00:00.000Z,WAS,IND,Washington Wizards,Indiana Pacers,135.0,134.0,Capital One Arena,Washington,2021,Finished
9585,2021-10-22T23:30:00.000Z,BOS,TOR,Boston Celtics,Toronto Raptors,83.0,115.0,TD Garden,Boston,2021,Finished
9586,2021-10-22T23:30:00.000Z,PHI,BKN,Philadelphia 76ers,Brooklyn Nets,109.0,114.0,Wells Fargo Center,Philadelphia,2021,Finished
9587,2021-10-23T00:00:00.000Z,CHI,NOP,Chicago Bulls,New Orleans Pelicans,128.0,112.0,United Center,Chicago,2021,Finished
9588,2021-10-23T00:00:00.000Z,HOU,OKC,Houston Rockets,Oklahoma City Thunder,124.0,91.0,Toyota Center,Houston,2021,Finished
9589,2021-10-23T01:00:00.000Z,DEN,SAS,Denver Nuggets,San Antonio Spurs,102.0,96.0,Ball Arena,Denver,2021,Finished
9590,2021-10-23T02:00:00.000Z,LAL,PHX,Los Angeles Lakers,Phoenix Suns,105.0,115.0,STAPLES Center,Los Angeles,2021,Finished
9591,2021-10-23T02:00:00.000Z,SAC,UTA,Sacramento Kings,Utah Jazz,101.0,110.0,Golden 1 Center,Sacramento,2021,Finished
9592,2021-10-23T22:00:00.000Z,CLE,ATL,Cleveland Cavaliers,Atlanta Hawks,101.0,95.0,Rocket Mortgage FieldHouse,Cleveland,2021,Finished
9593,2021-10-23T23:00:00.000Z,IND,MIA,Indiana Pacers,Miami Heat,102.0,91.0,Gainbridge Fieldhouse,Indianapolis,2021,Finished
9594,2021-10-23T23:30:00.000Z,TOR,DAL,Toronto Raptors,Dallas Mavericks,95.0,103.0,Scotiabank Arena,Toronto,2021,Finished
9595,2021-10-24T00:00:00.000Z,CHI,DET,Chicago Bulls,Detroit Pistons,97.0,82.0,United Center,Chicago,2021,Finished
9596,2021-10-24T00:00:00.000Z,MIN,NOP,Minnesota Timberwolves,New Orleans Pelicans,96.0,89.0,Target Center,Minneapolis,2021,Finished
9597,2021-10-24T00:30:00.000Z,SAS,MIL,San Antonio Spurs,Milwaukee Bucks,111.0,121.0,AT&T Center,San Antonio,2021,Finished
9598,2021-10-24T02:00:00.000Z,POR,PHX,Portland Trail Blazers,Phoenix Suns,134.0,105.0,Moda Center,Portland,2021,Finished
9599,2021-10-24T02:30:00.000Z,LAC,MEM,LA Clippers,Memphis Grizzlies,114.0,120.0,STAPLES Center,Los Angeles,2021,Finished
